abandonne,自由に、制限なしに,気をつけて,愛を持って
a battuta,拍に沿って,没頭して,自由に、制限なしに
abbasamento[abb.],だんだん弱く、(声を)落として,自由に、制限なしに,悲しみのこもった
a bene placito,任意に、自由な表現(テンポ),無機質に,気をつけて
accarezzevole[carezzando],いとおしむような、そっと触れるような,繊細に,心配して、あくせくして
Accompagnato[Accomp.][Acc.],作曲された伴奏を伴って,陽気に、楽しく,装飾音符
à demi jeu[à demi voix],半分の声で,豊かな声で,泣き喚くように
affannato  affannosamente,心配して、息切れして、あくせくして,だんだん弱く,華麗な、立派な
aggiustamente,リズムを正確に,燃えて、火のように,無機質に
a punta d'arco,弓先で,弓を戻して,弓の木部での奏法
assez,十分に,非常に,少し
audace,大胆な,心配して、息切れして,悲しみのこもった
basso continuo[b.c][B.c.],通奏低音,オスティナートバス,ジャズのベース
a bocca chiusa,口を閉じて、ハミング,高らかな声で,弱音器を付けて（金管楽器）
bizzarro,一風変わった、幻想的な,リズムを正確に,憎しみを持って
con bravura,華麗に、素晴らしく達者に,燃えて、火のように,憎しみを持って
cantus firmus[c.f.],定旋律,通奏低音,オルガヌム
celere,速く,華麗に、素晴らしく達者に,和らいで、だんだん遅く
gestopft[tappato][bouché],ホルンの特殊奏法,リード楽器の特殊タンギング,指板の上を弾くこと
con calore,熱気を持って,静けさを持って,なだらかな
con duolo,悲嘆に暮れて,2回目のように,勇敢さを持って
detache,はっきりした発音と均質な音を出す運弓法,消えるように,躍動して
doux[doucement],優しい、柔らかい,2回目,悲しげに
douloureux,悲しげに,優しく、柔らかい,2回目のように
eclatant,輝きのある、華やかな,だんだん小さく,優しい、柔らかい
en elargissant,次第に幅広く,悲しげに,優しく、柔らかい
entschlossen,決然とした,次第に幅広く,極めて速く
erhaben,崇高な,決然とした,2回目
estinto,やっと聞こえる程度の弱さで,輝きのある、華やかな,悲嘆に暮れて
etouffe,消音する(打楽器・ハープ等),やっと聞こえる程度の弱さで,次第に幅広く
fastoso,豪華な、きらびやかな,声楽の発声技法の一つ,非常に速く
fermezza[fermo],しっかりと,楽しい,燃えるような
fiero,勇ましく、尊大に,楽しい,豪華な、きらびやかな
flautando,フルートのように(弦楽器で指板の上を弾く),流暢に、流れるように,燃えるような
funebre,暗く、悲しく、埋葬にふさわしく,豪華な、きらびやかな,華麗に、素晴らしく達者に
gaiement,陽気な、快活な,暗く、悲しく、埋葬にふさわしく,流れるように、流暢に
galante,華美な、堂々たる,心配して、息切れして,繊細に
gradatamente,少しずつ、段階的に,壮大に,陽気な、快活な
Hauptstimme,主声部,少しずつ,副声部
impetuoso,激しく、猛烈に,少しずつ、段階的に,正確に
incalzando,急迫に、次第に速く強く,正確なテンポで,次第に消えていくように
con lancio,投げるように,楽しげに,気楽に、自由に
languendo,嘆き悲しんで、想い疲れて,幅広く、寛大に、ゆったりと,急迫に、次第に速く強く
martele,圧力をかけ強いスタッカートをつける運弓法,少し弦の上をバウンドさせる運弓法,なめらかに弾くこと
mutig,勇気ある、勇敢な,深い悲しみをもって,感情を込めて
Nebenstimme,副次声部,主声部,少しずつ
nobile,上品、気高く,勇気ある、勇敢な,深い悲しみをもって
pastoso,柔らかく、甘美に,内気な、おずおずした,勇気ある、勇敢な
piangendo,泣きながら,勇気ある、勇敢な,少しずつ
pieno,全部の、いっぱいの,非常に,少し
pietoso,憐れみ深く,豪華な、きらびやかな,しっかりと
pensieroso,物思いにふけって、憂いに沈んで,内気な、おずおずした,一風変わった、幻想的な
precipitato,急速に,十分に,非常に
raddolcendo,やわらかに、次第に静かに,泣きながら,内気な、おずおずした
rasch,急速に,十分に,非常に
